Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Uxbridge, Tp",BY-LAW NUMBER 2024-039,Yes,"Agricultural Uses22. Agricultural uses as well as farm buildings and other ancillary development to an agricultural use excluding any residential, commercial or cannabis production facilities uses shall be exempt from the provisions of this By-law.",2024-05-06,,https://www.uxbridge.ca/en/business-and-development/resources/Documents/By-Law-No.-2019-076---Development-Charge-By-law.pdf,,,,,,,BY-LAW NUMBER 2010-084,No,,2010-05-10,,https://www.uxbridge.ca/en/your-local-government/resources/Documents/Fill-Site-Alteration-By-law-No.-2010-084---consolidated---2021-Fee-Chart-Update-Amendment.pdf,BY-LAW NUMBER 2009-081,No,,No,,No,Yes,Yes,No,"35.2.1 No household shall keep more than two (2) Dogs. 5.2.2 Notwithstanding the limit set forth in Section 5.2.1, a third Dog will be allowed on Lands Zoned Rural provided that the parcel is larger than four (4) hectares in size.",2009-06-22,,https://www.uxbridge.ca/en/resourcesGeneral/Documents/Animal-Control-By-law.pdf,,No,,,,,,,,By-law Number 30-2020,Yes,4. EXEMPTIONS(n) Any Normal Farm Practice as part of an Agricultural Operation.,2020-07-29,,https://www.durham.ca/Modules/Bylaws/Bylaw/Download/b8798a81-a8ba-48e2-b9a6-31837e06344ahttps://www.durham.ca/Modules/Bylaws/Bylaw/Download/b8798a81-a8ba-48e2-b9a6-31837e06344a,YES,YES,YES,NO,NO,YES,https://www.uxbridge.ca/en/business-and-development/fences.aspx
"Val Rita-Harty, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 1011-15,No,,No,,No,Yes,Yes,No,none,2015-10-22,,https://valharty.ca/wp-content/uploads/2022/06/by-law-1011-15-REGISTRATION-OF-DOGS.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Vaughan, C",BY-LAW NUMBER 109-2022,Yes,"Rules – Application, Exemptions and Exceptions (8) Notwithstanding any other provisions of this By-law, a building or structure shall be exempt from the payment of development charges provided that it is for (d) an agricultural use;",2022-06-28,2028-06-01,https://www.vaughan.ca/sites/default/files/109-2022%20-%202022%20City-Wide%20DC%20By-Law.pdf?file-verison=1705329377439,BY-LAW NUMBER 224-2023Fees and Charges By-law,No,$806.77 annual for agricultural (fee is lower compared to other property types),2023-12-12,,https://www.vaughan.ca/sites/default/files/2024-01/Fees%20and%20Charges%20By-Law.pdf?file-verison=1705347465984&amp;file-verison=1706541466823,BY-LAW NUMBER 189-96amended byBY-LAW NUMBER 164-2019,No,"2. PROHIBITIONS Section (1) {No person shall remove, place or dump fill or cause fill to be removed, placed or dumped} does not apply where:(h) fill is dumped or placed on lands zoned ""Agricultural"" where there is a minor alteration to the grade of land as an incidental part of a commonly accepted agricultural practice.",2019-11-19,,https://www.vaughan.ca/sites/default/files/189-96.pdf?file-verison=1706023642024,BY-LAW 066-2020,No,,No,,No,Yes,Yes,No,NOT KNOWN,2015-10-22,,https://www.vaughan.ca/sites/default/files/066-2020%20%28Consolidated%29.pdf?file-verison=1707405198186,Animal Control By-law,No,,,,,,,https://www.vaughan.ca/sites/default/files/066-2020%20%28Consolidated%29.pdf?file-verison=1711482742039,By-law 052-2018,No,,2018-04-11,,https://www.vaughan.ca/sites/default/files/052-2018%20%28Consolidated%29.pdf?file-verison=1708539928708,YES,YES,YES,YES,NO,YES,https://www.vaughan.ca/sites/default/files/189-2020%20%28Consolidated%29.pdf?file-verison=1680013219598&amp;file-verison=1755025226162
"Wainfleet, Tp",BY-LAW No. 025-2021,Yes,"Exemptions 3.5 Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: (b) bona fide farm (non-residential) buildings;  where ""farm building"" means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use. This excludes BL025-2021 2021 07 27 Page4 ) a residential use, marijuana production facilities, wholesale greenhouse facilities, value added production uses, and value added marketing uses;",2021-07-27,2026-07-27,https://www.wainfleet.ca/en/build-and-invest/resources/Documents/Building/2024/BL025-2021-Signed.pdf,,,,,,,BY-LAW NO. 025-2022,Yes,"6. EXEMPTIONSo) the stockpiling of Fill in the ordinary course of the operation of a garden supply establishment that is legally established under the Zoning By-law, provided that such activity does not result in the permanent alteration of the existing grade of the land of the garden supply establishment. For this exemption to apply, the Owner must: (i) maintain records from the material source sites indicating that the imported Fill meets the requirements of the site condition standards for agricultural uses.",2022-05-31,,"https://www.wainfleet.ca/sites/24/files/2024-06/BL025-2022-Site-Alteration.pdf?field_types_target_id=63:~:text=THE%20CORPORATION%20OF%20THE%20TOWNSHIP,25%2C%20authorize",BY-LAW NO. 014-2016,No,,No,,No,Yes,Yes,No,"3 6. EXEMPTIONS 1. Notwithstanding section 5.10, a temporary exemption to own or possess or house more than three (3) dogs may be provided, upon Council approval, for compassionate reasons, working dogs or farming and/or herding dogs and must be applied for in writing to the Clerk.",2016-03-29,,https://www.wainfleet.ca/en/town-hall/resources/Documents/BL014-2016-Dog-Control-Bylaw-AS-AMENDED-by-BL041-2018-and-BL049-2019.pdf,,No,,,,,,,,,,,,,,YES,YES,NO,NO,YES,NO,https://www.wainfleet.ca/media/437
"Warwick, Tp",BY-LAW NUMBER 23 of 2023,Yes,"3.10 Other Exemptions/Reductions Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: • Non-residential farm buildings.  where “Farm building” means that part of a bona fide farming operation encompassing barns, silos, and other ancillary development to an agricultural use, but excluding a residential use and would include wholesale greenhouse facilities and structures;",2023-04-11,,https://www.warwicktownship.ca/en/our-government/resources/Documents/2023-By-Laws---By-Law-23-of-2023---Development-Charges-By-Law.pdf,,,,,,,,,,,,,BY-LAW NUMBER 93 of 2023,No,,No,,No,Yes,Yes,Yes,No,2023-09-11,,https://www.warwicktownship.ca/en/our-government/resources/Documents/By-law-93-of-2023---Responsible-Pet-Ownership-By-law-Animal-Control.pdf,Responsible Pet Ownership By-law,No,,,,,,,https://www.warwicktownship.ca/en/our-government/resources/Documents/By-law-93-of-2023---Responsible-Pet-Ownership-By-law-Animal-Control.pdf,,,,,,,NO,,,,,,
"Wasaga Beach, Tp",BY-LAW  2021-42,No,,2021-04-27,2026-05-24,https://www.wasagabeach.com/en/resources/Documents/-%20Bylaws%20and%20Policies/By-laws/Development%20Charge%20By-law%202021-42%20Town%20Wide.pdf,,,,,,,,,,,,,By-Law 2002-63,No,,No,,No,Yes,Yes,Yes,No,2002-11-12,,https://www.wasagabeach.com/en/town-and-government/resources/By-laws-and-Policies/Animal-Control-By-law.pdf,Animal Control By-law,No,,,,,,,https://www.wasagabeach.com/en/town-and-government/resources/By-laws-and-Policies/Animal-Control-By-law.pdf,BY-LAW 2019-82,Yes,3. EXEMPTIONS l) The destruction of trees occurring as an integral component of an active farm operation provided the trees are situated outside of areas designated as Part of the Natural Heritage System - Category 1 and Natural Heritage System - Category 2 lands;,2019-07-30,,,YES,YES,YES,NO,YES,YES,https://www.wasagabeach.com/en/resources/Documents/-%20Bylaws%20and%20Policies/By-laws/Exemption%20from%20Line%20Fences%20Act.pdf
"Waterloo, C",BY-LAW NO. 2019-064,No,,2019-12-16,,https://www.waterloo.ca/en/government/resources/Documents/By-law/Development-Charges-Bylaw-2019-064.pdf,By-Law No. 2020-058,No,,2020-09-21,,https://www.waterloo.ca/en/living/accounts-and-billing.aspxMonthly-stormwater-rates,Bylaw Number 2010 - 066,No,,2010-05-17,,https://www.waterloo.ca/en/living/site-alteration-bylaw.aspx,Bylaw Number 2009 - 047,No,,No,,No,Yes,Yes,Yes,No,2021-05-31,,https://www.city.waterloo.on.ca/en/living/animal-control-bylaw.aspx,By-law 2009-047Animal control By-law,Yes,,2021-05-31,,No,Yes,2;3;4,https://www.waterloo.ca/en/living/animals-and-pets.aspx?_ga=2.48218658.468852114.1711483154-1960759068.1705335888Hen-rules-and-regulations,Bylaw number: 2014 - 078,No,,2014-07-14,,https://www.waterloo.ca/en/living/city-tree-bylaw.aspx,YES,YES,YES,YES,YES,YES,https://www.waterloo.ca/en/living/fence-bylaw.aspx
"Waterloo, Regional M",By-Law Number 19-037,Yes,"Rules for the Application and Imposition of Development Charges: (4) This By-law does not apply to: (c) Development for any one or more of the following uses of land: (iii) Farming, excluding a Farm Occupation;  where ""Farming"" means the production of crops or the breeding, raising or maintaining of livestock, or both, and includes but is not limited to: (a) fur farming; (b) fruit and vegetable growing; (c) the keeping of bees; (d) fish farming; and (e) sod farming, and includes such buildings and structures located on a Farm that are designed and intended to be used solely for or in connection with: (i) storage or repair of farm equipment; (ii) storage of materials used in the production or maintenance of crops or livestock on the Farm; or (iii) storage of the products derived from the Farm’s production of crops or livestock.",2019-06-26,,https://www.regionofwaterloo.ca/en/doing-business/resources/Developmet-Charges-By-law-July-9-2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,see local municipalities,,,,,,,,,BY-LAW NUMBER 08-026,No,,2008-06-18,,https://www.regionofwaterloo.ca/en/resources/Bylaws/By-law-08-026.PDF,NO,,,,,,
"Wawa, M",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2512-11,No,,No,,No,Yes,Yes,No,NOT KNOWN,2011-11-01,,https://www.wawa.cc/en/your-government/resources/Documents/BL-2512-11-Dog-By-Law.pdf,Regulate Keeping of Animals,No,,,,,,,https://www.wawa.cc/en/your-government/resources/Documents/BL-891-93-Regulate-Keeping-of-Animals.pdf,BY-LAW NO.2674-13,No,,2013-04-16,,https://www.wawa.cc/en/your-government/resources/Documents/BL-2674-13-Planting-and-Trimming-of-Trees.pdf,NO,,,,,,
"Welland, C",BY-LAW NUMBER 2022 - 163,Yes,"22. This By-law shall not apply to: m) Agricultural development  where ""Agricultural Use"" means use or intended use for bona fide farming purposes: i. including but not limited to: 1. cultivation of crops, whether on open land or in greenhouses, including, but not limited, to fruit, vegetables, herbs, grains, field crops, sod, trees, shrubs, flowers and ornamental plants. 2. raising of animals, including, but not limited, to cattle, horses, pigs, poultry, livestock, fish, and 3. animal husbandry, dairying, equestrian activities, horticulture, fallowing, pasturing and market gardening ii. but excluding: 1. winery activities, retail sales activities, including, but not limited, to restaurants, banquet facilities, hospitality facilities and gift shops.",2022-08-18,2027-08-18,https://www.welland.ca/Bylaws/bylaw2022-163.pdf,,,,,,,BY -LAW NUMBER 2010- 81,No,,2010-06-15,,https://www.welland.ca/Bylaws/bylaw2010-88.pdf,BY-LAW NUMBER 2007-199,No,,No,,No,Yes,Yes,No,NOT KNOWN,2007-12-18,,https://www.welland.ca/Bylaws/Bylaw2007-199.pdf,,No,,,,,,,,,,,,,,YES,YES,NO,NO,NO,NO,https://www.welland.ca/bylaws/FenceBy-law2022-82.pdf
"Wellesley, Tp",BY-LAW NO. 48/2024,Yes,"3. APPLICATION OF DEVELOPMENT CHARGES 3.6 Subsection shall not apply to: d) an agricultural use;  where ""agricultural use"" means the use of land and buildings for apiaries, fish farming, animal husbandry or the cultivation of trees, shrubs, flowers, grains, sod, fruits, vegetables and other crops or ornamental plants;",2024-12-10,,https://www.wellesley.ca/media/dercjdqn/by-law-48-2024-a-by-law-to-improse-development-charges-in-the-corporation-of-the-township-of-wellesley.pdf,,,,,,,,,,,,,BY-LAW NO. 25/2022,No,,No,,No,Yes,Yes,Yes,NOT KNOWN,2022-07-05,,https://www.wellesley.ca/en/township-services/resources/By-laws/Dog-and-Dog-Kennel-By-law/C01---By-law-25-2022---Being-a-By-Law-to-Regulate-Dogs-and-Licence-Dog-Kennels-and-to-Repeal-By-Law-No.-37-2021.pdf,,No,,,,,,,,,,,,,,YES,YES,NO,NO,NO,NO,https://www.wellesley.ca/en/township-services/resources/By-laws/By-law-53-2017.pdf
"Wellington North, Tp",BY-LAW NUMBER 027-22(INCLUDING AMENDMENT IN BY-LAW 076-22)A By-law for the Imposition of Development Charge,Yes,"No twithstanding the provision of this by-law, development charges shall not be imposed with respect to: a) Bona fide farm uses used for farming purposes and includes ancillary agricultural uses such as non-residential accessory buildings or structures, storage buildings or structures and driving sheds, but does not include buildings or structures used for residential purposes;",2022-04-01,2027-03-31,https://www.wellington-north.com/sites/default/files/2022-08/By-law%20No.%20027-22%20CONSOLIDATED%20Development%20Charges%20By-law%20(002).pdf,,,,,,,,,,,,,BY-LAW NUMBER 004-17,Yes,"a dog that is specifically recognized and used to work and/or live with domestic farm animals, without causing them harm while aggressively repelling predators and is used exclusively for that purpose;",Other,"Farm Dog - shall mean a dog which is actively herding farm animals, such as cattle or sheep and such Dog is under the control of its Owner;",No,Yes,Yes,No,"106.2 No person or persons shall own, harbour or keep more than ten Dogs per dwelling unit in areas zoned agricultural.",2017-01-09,,https://www.wellington-north.com/sites/default/files/2021-12/dog-licencing-and-animal-control-by-law-004-17.pdf,,,,,,,,,,,,,,,,YES,YES,YES,YES,NO,NO,https://www.wellington-north.com/propertysafetyandguidelines
"Wellington, Co",By-law Number 5759-22Development Charge Bylaw,,,,,https://www.wellington.ca/en/government/resources/Budget_Finance_and_Taxes/FINAL-DC-By-law-5759-22.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 5115-09Forest Conservation By-law,7,"SEE SECTION 4K) the injuring or destruction of trees that is reasonably required in order to install a single lane driveway for vehicular access to a building or structure in respect of which a building permit has been issued;(n) the injuring or destruction of trees that are in a hazardous condition;(0) land previously cleared and used for agricultural purposes, which has become overgrown with young (less than 10 years old) early successional tree species (e.g. Sumac, Hawthorne, Apple, Scots Pine, Poplar, White Birch, Ash) and the land is intended to be used again as part of an agricultural operation (defined as land eligible for a Farm Business Registration Number);",2009-09-24,,https://www.wellington.ca/en/government/resources/Bylaw5115-09.pdf,NO,NO,,,,,
"West Elgin, M",,,,,,,,,,,,,,,,,,,By-Law No. 2020-74Animal Control By-law,No,,No,,No,Yes,Yes,No,"See Section 3.1A maximum number of three (3) dogs harboured at any one time in a dwelling unit, within West Elgin, with the following exceptions: a) A Municipally licenced kennel; b) An animal hospital; c) A pound or authorized facility; d) A pet store; e) A registered research facility or supply facility under the Animals for Research Act.",2020-10-22,,https://www.westelgin.net/en/living-here/resources/Documents/Animal-Control-By-Law.pdf,Exotic Animals By-law,No,,,,,,,https://www.westelgin.net/en/municipal-office/resources/Documents/Exotic-Animals.pdf,,Other,,,,,YES,NO,NO,YES,YES,NO,https://www.westelgin.net/en/municipal-office/resources/Documents/Boundary-Fences.pdf
"West Grey, M",By-law Number 31 - 2020,Yes,"Exemptions 3.3 This by-law shall not apply to lands that are owned by and used for the purposes of: (d) Non-residential buildings that are accessory to an agricultural operation;  where ""Agricultural use"" means the use of land and buildings for apiaries, fish farming, animal husbandry or the cultivation of trees, shrubs, flowers, grains, sod, fruits, vegetables and other crops or ornamental plants, but excludes marijuana;",2020-04-28,2025-04-28,https://www.westgrey.com/Modules/Bylaws/Bylaw/Download/cb251d53-7ea7-42dd-84e0-fb65823c2e86,,,,,,,BY-LAW 120-2018,No,,2018-10-15,,received by emailhttp://received by email,BY-LAW NUMBER 87 - 2009,No,,No,,No,Yes,Yes,No,none,2009-12-21,,https://www.westgrey.com/Modules/Bylaws/Bylaw/Download/2be947e9-8c2f-4e45-bdad-1e3b5fbff424,BY-LAW NUMBER 5 - 2020Keeping of Hens By-law,Yes,6,2020-01-28,,No,Yes,2;3;4,https://www.westgrey.com/Modules/Bylaws/Bylaw/Download/8364689b-8549-4dd4-85bb-5ccafcbc1fbe,,,,,,,YES,YES,YES,,,YES,https://www.westgrey.com/Modules/Bylaws/Bylaw/Details/453a9d60-3ee0-4862-8c7b-47a2788154ed
"West Lincoln, Tp",BY-LAW 2024-70,Yes,"3.7 Other Exemptionsc) agricultural uses; where ""agricultural use"" means use or intended use for bona fide farming purposes where the proposed development will qualify as a farm business operating with a valid FBRN issued by the OMA.",2024-10-29,2024-06-24,"https://www.westlincoln.ca/en/resourcesGeneral/By-Law-2024-70-Imposition-of-Development-Charges-signed.pdf:~:text=THE%20CORPORATION%20OF%20THE%20TOWNSHIP,will%20experience%20growth%20through%20development",,,,,,,BY-LAW 2016-41,Yes,"Part V- EXEMPTIONS 12. (i) A Permit is not required for: a) A Site Alteration involving an amount of Fill less than five hundred (500) cubic metres on a Lot within any one year period, for improved agricultural compatibility on agricultural lands or accessory to the permitted main use on other lands in the Township.",2016-06-27,,https://www.westlincoln.ca/en/resources/Site-Alteration-By-law-consolidated-no-fees.pdf,BY-LAW 2023-54,Yes,a dog that works and/or lives with domestic farm animals to protect them while repelling predatores and is used exclusively for that purpose;,No,,No,Yes,Yes,Yes,NOT KNOWN,2023-07-17,,https://www.westlincoln.ca/en/township-office/resources/By-law-2023-54---To-Regulate-Animal-Care-and-Control-Within-the-Township-of-West-Lincoln.pdf,Animal Care and Control By-law,No,,,,,,,https://www.westlincoln.ca/en/township-office/resources/By-law-2023-54---To-Regulate-Animal-Care-and-Control-Within-the-Township-of-West-Lincoln.pdf,,,,,,,YES,YES,NO,YES,YES,NO,https://www.westlincoln.ca/en/build-and-invest/resources/Fence-By-law.pdf
"West Nipissing, M",,,,,,,,,,,,,,,,,,,BY-LAW 2020/67,No,,No,,No,Yes,Yes,No,"none 5 for (agricultural and rural zones),exemption for vi) farm Dogs or farm Cats",2020-12-17,,https://www.westnipissing.ca/wp-content/uploads/2020/12/2020-67-Animal-Control-By-law-dogs-cats-Final-_-Nov-17-2020-003.pdf,,No,,,,,,,,,,,,,,YES,YES,NO,YES,YES,NO,https://www.westnipissing.ca/wp-content/uploads/2020/04/2009-38-Fences-WEB-EN.pdf
"West Perth, M",By-law 63-2024,Yes,"no development charge for ""bona fide farm uses""",2024-11-25,,https://www.westperth.com/en/resourcesGeneral/63-2024---DC-By-law.pdf,,,,,,,,Yes,,,,,By-Law 17-2017,No,,No,,No,Yes,Yes,No,"412.4 The three (3) dog limit in an urban zone and four (4) dog limit in a rural zone shall apply where the dog is a domestic pet and is not belonging to a kennel for the purposes of breeding, boarding or sporting/hunting.",2017-02-27,,https://www.westperth.com/en/municipal-office/resources/17-2017-Keeping-of-Dogs-and-Licencing-of-Kennels.pdf,,,,,,,,,,By-law No. 49-2022 Destruction or Injuring of Trees Bylaw,Yes,"See Section 3 for woodlot exceptions, see Section 6, part 12 (pg 8) for farm exemptions.Trees next to woodlot can be cut with some exceptions, and providedd the area to be cleared is inspected, approved and marked by an issuing officer",2021-11-02,,https://www.perthsouth.ca/en/resources/3557-2016-Destruction-or-Injuring-of-Trees.pdf,YES,NO,NO,YES,YES,NO,https://www.westperth.com/en/municipal-office/resources/By-laws/048-2006---Building-and-Maintaining-Privacy-Fence-on-Residentail-Property.pdf
"Westport, Tp",,,,,,,,,,,,,,,,,,,By-law Number 85-12,No,,No,,No,Yes,Yes,No,noe,1995-09-30,,https://villageofwestport.ca/wp-content/uploads/attachments/54980e_ec44998d0b624e319602f411c703d3b9.pdf,,,,,,,,,,,,,,,,YES,YES,NO,YES,YES,NO,https://villageofwestport.ca/wp-content/uploads/attachments/07b92f_d389720635af4f888f6c7ac03f71d814.pdf
"Whitby, Tp",By-law  7748-21,Yes,"Exemptions 12. (1) Notwithstanding the provisions of this by-law, development charges shall not be imposed under this by-law respecting: (a) the development of a non-residential farm building used for a bona fide farm use;  where “bona fide farm use” means the proposed development will qualify as a farm business operating with a valid Farm Business Registration Number issued by the Ontario Ministry of Agriculture, Food and Rural Affairs and be assessed in the Farmland Realty Tax Class by the Municipal Property Assessment Corporation, but “bona fide farm use” shall not include the growing of cannabis, cannabis production facilities, or any other cannabis operations;",2021-05-17,2026-06-01,https://www.whitby.ca/Modules/Bylaws/Bylaw/Download/ec851cee-0cec-416d-9591-17bec08070b6,,,,,,,By-law  7425 -18,No,,2018-06-25,,https://www.whitby.ca/Modules/Bylaws/Bylaw/Download/67fcc688-1dbd-4569-a65c-f88565f15a32,By-law  7861-22,No,,No,,No,Yes,Yes,No,"24.7. No person, being the owner, tenant or occupant of a dwelling unit shall own or harbour, or permit to be kept, owned or harboured more than 2 dogs in or about the dwelling unit.",2017-06-26,,https://www.whitby.ca/Modules/Bylaws/Bylaw/Download/4a412c83-1d1e-48a0-ad52-14f9489f4a2f,Prohibited and Regulated Animals By-law,No,,,,,,,https://www.whitby.ca/Modules/Bylaws/Bylaw/Download/0c454dec-4fcb-4712-ba96-7661d966e0c3,By-Law No. 4640-00,Yes,the destruction of trees occurring as an integral component of an active farm operation provided the trees are situated outside of areas designated Hazard Land on Schedule A of the official plan and outside of areas shown as “Mature Woodlands” or “Environmentally Sensitive Areas” on Schedule C of the official plan;,2000-06-20,,https://www.whitby.ca/Modules/Bylaws/Bylaw/Download/b8473144-d5ee-4a71-88da-8dbf7d23fe2b,YES,YES,YES,YES,YES,YES,https://www.whitby.ca/Enforcement-Services-Applications/Division-Fence-By-law-3657-95.pdf
